"parentCustomerID","child_id","ChildCustomerId"
675,676,iv. Restaurant
675,676,Chain
678,679,iii. Vergader loc.
678,679,viii. Private Dining
678,679,Chain
680,681,Owner
680,681,Hotelname
2932,682,Sales Manager
2932,682,Chain
682,683,iii. Vergader loc.
682,683,Chain
1139,684,iii. Vergader loc.
1139,684,Chain
308,684,iii. Vergader loc.
308,684,Chain
686,687,Sales Manager
686,687,Hotelname
690,691,ii. Hotel
690,691,iii. Vergader loc.
690,691,iv. Restaurant
690,691,viii. Private Dining
690,691,Chain
692,693,ii. Hotel
692,693,iii. Vergader loc.
692,693,iv. Restaurant
692,693,viii. Private Dining
692,693,Chain
694,695,Chain
697,698,Chain
699,700,Chain
701,702,Chain
309,703,Chain
309,704,Chain
309,705,Chain
706,707,v. Leverancier
708,709,"1. Parent company"
310,711,"3. Factuuradres"
310,711,"1. Parent company"
310,712,Banquet Sales
715,716,Reservations
717,718,"3. Factuuradres"
717,718,"1. Parent company"
311,719,"1. Parent company"
311,720,"1. Parent company"
311,721,"1. Parent company"
311,722,"3. Factuuradres"
311,722,"1. Parent company"
312,735,"3. Factuuradres"
312,735,"1. Parent company"
736,737,"1. Parent company"
738,739,Reservations
833,740,"3. Factuuradres"
833,740,"1. Parent company"
954,740,"3. Factuuradres"
954,740,"1. Parent company"
742,740,"3. Factuuradres"
742,740,"1. Parent company"
741,740,"3. Factuuradres"
741,740,"1. Parent company"
313,744,"1. Parent company"
313,745,"3. Factuuradres"
313,745,C. Traveller
313,745,B. Booker
313,745,"1. Parent company"
313,746,"1. Parent company"
313,747,"3. Factuuradres"
313,747,"1. Parent company"
750,751,"1. Parent company"
752,753,"3. Factuuradres"
755,754,"2. Sub company"
762,763,Finance
768,769,C. Traveller
773,774,"1. Parent company"
775,776,"1. Parent company"
778,779,"1. Parent company"
780,781,"3. Factuuradres"
780,781,"1. Parent company"
782,783,"3. Factuuradres"
782,783,"2. Sub company"
1042,785,"1. Parent company"
1494,785,"1. Parent company"
1042,786,"1. Parent company"
1494,786,"1. Parent company"
805,806,"1. Parent company"
811,812,"1. Parent company"
301,814,"1. Parent company"
817,818,"1. Parent company"
819,820,"1. Parent company"
765,821,"1. Parent company"
585,824,"1. Parent company"
825,826,"1. Parent company"
829,827,"1. Parent company"
829,828,"1. Parent company"
832,830,"1. Parent company"
830,831,"1. Parent company"
643,837,"1. Parent company"
838,839,"1. Parent company"
67,841,"1. Parent company"
842,843,"1. Parent company"
848,849,"1. Parent company"
223,851,"1. Parent company"
299,854,"1. Parent company"
854,855,"1. Parent company"
256,856,"1. Parent company"
256,857,"1. Parent company"
256,858,"1. Parent company"
256,859,"1. Parent company"
215,866,"1. Parent company"
215,867,"1. Parent company"
215,868,"1. Parent company"
215,869,"1. Parent company"
215,870,Banquet Sales
215,871,iii. Vergader loc.
215,871,v. Leverancier
215,871,Reservations
215,872,Hotelname
215,873,Hotelname
215,878,"2. Sub company"
215,878,iv. Restaurant
215,878,v. Leverancier
215,880,"1. Parent company"
215,881,"1. Parent company"
215,883,General Manager
215,884,Owner
215,885,Reservations
215,885,Banquet Sales
215,885,DOS
215,886,Owner
215,887,"3. Factuuradres"
215,887,Finance
215,888,"1. Parent company"
215,889,"1. Parent company"
215,889,Owner
215,890,"1. Parent company"
215,892,Reservations
215,896,"3. Factuuradres"
215,896,"1. Parent company"
215,897,"3. Factuuradres"
215,898,"3. Factuuradres"
215,899,"3. Factuuradres"
215,899,"1. Parent company"
215,900,"2. Sub company"
215,901,Reservations
215,901,Finance
215,902,"3. Factuuradres"
215,902,C. Traveller
215,903,"3. Factuuradres"
215,903,B. Booker
215,903,"2. Sub company"
215,904,"1. Parent company"
215,905,"1. Parent company"
215,906,Reservations
215,908,"1. Parent company"
215,909,Reservations
215,910,Sales Manager
215,912,"3. Factuuradres"
215,912,"1. Parent company"
215,913,"3. Factuuradres"
215,913,"1. Parent company"
215,914,"3. Factuuradres"
215,914,"1. Parent company"
215,915,Finance
215,916,"3. Factuuradres"
215,916,Owner
215,918,Reservations
215,920,C. Traveller
215,921,C. Traveller
215,922,C. Traveller
215,923,C. Traveller
215,924,"3. Factuuradres"
215,924,"1. Parent company"
215,925,"3. Factuuradres"
215,925,"1. Parent company"
215,926,"3. Factuuradres"
215,926,"1. Parent company"
215,927,Reservations
215,928,Banquet Sales
215,932,Reservations
215,932,Banquet Sales
215,933,"1. Parent company"
215,934,"3. Factuuradres"
215,934,ii. Hotel
215,934,"2. Sub company"
215,935,"1. Parent company"
215,936,"3. Factuuradres"
215,936,"1. Parent company"
215,937,"1. Parent company"
215,938,"3. Factuuradres"
215,939,"1. Parent company"
215,940,ii. Hotel
215,940,"2. Sub company"
215,941,Banquet Sales
215,942,"1. Parent company"
215,943,"1. Parent company"
215,944,"3. Factuuradres"
215,944,"1. Parent company"
215,945,ii. Hotel
946,947,Sales Manager
948,949,"3. Factuuradres"
948,949,"1. Parent company"
67,950,"3. Factuuradres"
67,950,"1. Parent company"
67,951,"3. Factuuradres"
958,959,"1. Parent company"
964,965,"3. Factuuradres"
964,965,"2. Sub company"
964,965,Chain
966,967,"3. Factuuradres"
966,967,"1. Parent company"
968,969,"1. Parent company"
970,971,"1. Parent company"
755,972,"1. Parent company"
974,975,"1. Parent company"
974,976,"3. Factuuradres"
974,976,"1. Parent company"
974,977,"1. Parent company"
983,978,"1. Parent company"
980,981,"1. Parent company"
299,984,"1. Parent company"
854,984,"1. Parent company"
443,987,Banquet Sales
990,991,A. VIP
992,993,"3. Factuuradres"
992,993,"1. Parent company"
992,994,Chain
994,995,Chain
996,997,Banquet Sales
998,999,C. Traveller
1006,1005,"1. Parent company"
1007,1008,"1. Parent company"
67,1011,"3. Factuuradres"
67,1011,"1. Parent company"
67,1012,"1. Parent company"
67,1013,"3. Factuuradres"
67,1013,"1. Parent company"
67,1014,"3. Factuuradres"
67,1014,"1. Parent company"
1018,1019,"3. Factuuradres"
1018,1019,Banquet Sales
1018,1020,"3. Factuuradres"
1018,1020,"1. Parent company"
423,1025,"1. Parent company"
302,1026,"1. Parent company"
3043,1026,"1. Parent company"
1026,1027,"1. Parent company"
240,1028,"1. Parent company"
1030,1031,"1. Parent company"
223,1033,"1. Parent company"
286,1034,"1. Parent company"
1034,1035,"1. Parent company"
256,1036,"1. Parent company"
1037,1038,"1. Parent company"
290,1040,"1. Parent company"
1030,1041,"1. Parent company"
1494,1042,"1. Parent company"
297,1048,ii. Hotel
267,1051,C. Traveller
1054,1055,"3. Factuuradres"
1054,1055,"1. Parent company"
234,1056,"1. Parent company"
304,1057,"1. Parent company"
646,1058,"1. Parent company"
1050,1059,"1. Parent company"
1061,1060,"1. Parent company"
1062,1063,"3. Factuuradres"
1062,1063,"1. Parent company"
1067,1068,"1. Parent company"
1067,1069,"1. Parent company"
1067,1070,ii. Hotel
1067,1070,Chain
1067,1071,"1. Parent company"
1067,1072,"1. Parent company"
1067,1073,"1. Parent company"
1067,1074,"1. Parent company"
